 domain, category, score, first_seen, last_seen, ports (|)
 hiphop-ejay.sd.softonic.com,5,45,2012-05-17,2014-06-30,80
 whitellaurel68.pensolut.com,5,117,2014-05-08,2014-05-08,80
 crosshair.sd.en.softonic.com,5,107,2014-06-28,2014-07-13,80
 minecraft.sd.en.softonic.com,5,57,2012-05-17,2014-07-15,80
 wifi-auditor.sd.softonic.com,5,40,2012-09-14,2014-05-12,80
 www.cotolengocearense.com.br,1,92,2014-07-03,2014-07-07,80
 d16oc15frjt76r.cloudfront.net,35,103,2013-08-05,2014-07-10,80
 der-bahngigant.sd.softonic.de,5,45,2014-07-06,2014-07-06,80
 emeipjdibmzfqxbiojfughars.com,29,49,2014-04-28,2014-04-30,80
 os2.thedownloadmanagerapp.com,5,92,2013-08-04,2014-06-22,80
 oss-cn-qingdao-a.aliyuncs.com,35,99,2014-01-08,2014-06-06,80
 format-factory.sd.softonic.com,5,107,2012-05-17,2014-07-15,80
 huavztzpqwcidswouwzxlwsrgnv.ru,29,100,2014-06-09,2014-06-09,80
 too-many-items.sd.softonic.com,5,107,2012-07-27,2014-07-13,80
 www.gameforumsonlineblog.co.cc,29,127,2014-03-28,2014-04-24,
 daemon-tools.sd.nl.softonic.com,5,122,2013-12-30,2014-07-14,80
 pjswhahtcezlinyxylfmucdiifm.biz,1,60,2014-07-14,2014-07-14,80
 a26287.nb.host-domain-lookup.com,1,120,2014-05-05,2014-05-05,80
 nitro-pdf-reader.sd.softonic.com,5,107,2012-10-06,2014-05-13,80
 real-vnc-personal.sd.softonic.jp,5,62,2014-07-04,2014-07-04,80
 binu-messenger.sd.softonic.com.br,5,30,2014-03-30,2014-06-22,80
 corel-photo-album.sd.softonic.com,5,30,2013-08-02,2014-02-17,80
 splashup-light.sd.en.softonic.com,5,32,2014-04-23,2014-06-28,80
 tg-static.gamerpub.netdna-cdn.com,35,125,2013-02-26,2014-06-16,80
 control.app05-04.logmeinrescue.com,30,47,2013-04-08,2014-04-28,443
 control.app05-05.logmeinrescue.com,30,40,2013-04-08,2014-04-21,443
 pdfsnippingtool.sd.en.softonic.com,5,112,2014-04-15,2014-07-13,80
 s3-website-us-east-1.amazonaws.com,5,107,2012-08-28,2014-07-15,80
 soulseek-client.sd.nl.softonic.com,5,45,2014-04-03,2014-07-05,80
 grand-theft-auto.ud.en.softonic.com,5,117,2013-05-25,2014-07-15,80
 mcpatcher-hd-fix.sd.nl.softonic.com,5,35,2014-07-14,2014-07-14,80
 pdf-password-remover.sd.softonic.it,5,107,2014-07-12,2014-07-13,80
 realworld-photos.sd.softonic.com.br,5,72,2014-03-10,2014-07-06,80
 a66146dd6849ca7e90cb61f1f6fddd.co.cc,29,127,2014-04-15,2014-04-18,
 alltubedownloader.sd.en.softonic.com,5,72,2014-04-02,2014-06-30,80
 plex-media-server.sd.en.softonic.com,5,117,2014-06-14,2014-07-15,80
 jiangmin-antivirus.sd.en.softonic.com,5,40,2012-10-27,2013-06-11,80
 rar-file-open-knife.sd.en.softonic.com,5,35,2013-11-22,2014-06-20,80
 cat-licking-screensaver.sd.softonic.com,5,22,2014-05-20,2014-06-17,80
 bluestacks-app-player.sd.nl.softonic.com,5,45,2012-06-26,2014-07-13,80
 cd-recovery-toolbox-free.sd.softonic.com,5,45,2012-06-27,2014-06-19,80
 47rqn8x2u9h0mpazq1zgs9332j79r0.ipcheker.com,1,97,2014-07-11,2014-07-11,80
 8t7424ba38lny14o22y66rog362e7l.ipcheker.com,1,97,2012-11-05,2012-11-15,80
 90fbbwet1ywe83i1s2rpn4hk7bm3ec.ipcheker.com,1,97,2014-07-11,2014-07-11,80
 92o3400z0z68s69dmr3qw4ia2khn47.ipcheker.com,1,77,2014-07-07,2014-07-07,80
 csd41dp4yrhud1r4kvp3cdhfb4r301.ipcheker.com,1,87,2012-10-10,2012-10-15,80
 vk3o693l7o56lb31fb6m8jucho8k96.ipcheker.com,1,97,2012-07-20,2014-07-11,0 80
 2011-calendar-windows-7-theme.sd.en.softonic.com,5,107,2014-07-10,2014-07-13,80
 togethershare-data-recovery-free.sd.softonic.com,5,40,2014-05-10,2014-05-10,80
 chocolatier-2-secret-ingredients.sd.en.softonic.com,5,77,2014-06-03,2014-07-03,80
 soldier-of-fortune-ii-double-helix.sd.en.softonic.com,5,42,2013-10-17,2014-06-30,80
 jose.so,1,25,2014-05-07,2014-05-13,2500 2000
 emule.tc,27,87,2014-04-21,2014-06-07,80
 oxegs.ru,27,39,2013-05-04,2014-04-20,80
 wasfx.net,1,55,2013-08-16,2014-04-28,80
 wszxh.net,29,127,2013-10-04,2014-06-01,80
 nohedih.tk,27,36,2013-08-24,2014-04-17,80
 trikbox.su,9,110,2014-06-14,2014-06-25,5050
 zuf174.com,28,45,2012-10-24,2014-03-06,443 1866
 autoxtt.com,35,103,2013-11-24,2014-03-08,80
 droznew.com,28,22,2014-06-19,2014-06-19,443
 feedset.net,1,95,2013-08-21,2013-10-17,80
 frasada.com,1,57,2014-03-21,2014-06-07,80
 gkol34jo.su,1,57,2014-05-25,2014-06-02,80
 httpc.co.cc,27,119,2013-05-08,2014-07-02,80
 irc.mgts.by,9,126,2011-10-20,2014-07-08,6667
 lamantin.tk,27,38,2014-05-16,2014-05-16,80
 pornfat.net,1,22,2011-09-28,2014-06-11,80
 thcway.info,1,77,2013-04-06,2014-06-18,80
 vw.civix.pl,29,123,2013-02-12,2014-07-11,
 goxonas.info,29,124,2013-05-07,2014-06-19,80
 iclasshd.net,1,122,2014-05-09,2014-05-31,443
 modavmode.ru,35,73,2014-06-18,2014-06-18,80
 sf-addon.com,35,125,2013-09-18,2014-06-10,80
 asiaexpert.tk,27,71,2014-05-22,2014-05-22,80
 coinotron.com,40,72,2013-07-25,2014-06-19,3334 3337 3339
 ftp.7host.com,1,127,2012-02-19,2014-07-14,21
 gfsgdsf.cx.cc,27,100,2014-06-20,2014-06-20,80
 kgce.axvf.biz,1,117,2013-12-13,2014-05-28,8000
 tubeshift.com,24,92,2011-07-08,2014-06-12,80
 un.dudulm.com,35,71,2014-06-19,2014-06-19,801
 up.masrawy.in,9,61,2011-11-09,2014-05-12,80
 vgjmxlpm.info,29,105,2014-04-30,2014-06-25,
 www.mhgmm.com,27,87,2014-06-04,2014-06-07,80
 360kv.3322.org,25,120,2011-11-01,2014-01-29,80
 9.nsvhn987.com,29,125,2013-05-28,2014-07-14,
 dl.getcs16.com,35,71,2014-02-13,2014-06-19,80
 dologens.cz.cc,1,80,2012-06-26,2014-05-12,80
 mobigravity.ru,37,112,2014-07-14,2014-07-14,80
 qugabewyqa.com,24,66,2012-08-06,2014-07-06,80
 smivloknet.org,29,50,2014-05-25,2014-05-25,
 southstock.net,29,100,2014-04-25,2014-04-25,80
 stromoliks.com,1,122,2013-05-22,2014-07-16,443
 sunnyukweb.com,35,69,2014-05-26,2014-06-18,80
 tres.hopto.org,9,47,2013-09-01,2014-04-28,8782 6667
 vkassistant.ru,35,119,2013-05-15,2014-04-19,80
 www.evishop.de,29,99,2013-08-02,2014-07-13,
 yestospain.com,1,112,2014-01-17,2014-06-17,80 443
 ywoubvofw.info,29,100,2014-04-12,2014-04-12,80
 1522.sogoui.com,1,117,2014-05-14,2014-07-12,1522 1555 2588 3533 3599
 31.nsvhn987.com,1,117,2013-10-19,2014-07-16,8080
 36.nsvhn987.com,29,125,2013-03-24,2014-07-15,
 e-1051401205.tk,27,118,2013-10-30,2014-07-08,80
 focus-files.com,35,121,2014-01-03,2014-06-17,80
 mmk99.no-ip.biz,1,57,2014-07-01,2014-07-03,4152
 pchealthfix.com,35,99,2014-06-03,2014-06-15,80
 platform.nx.com,35,113,2011-10-01,2014-05-07,80
 ticker.7910.org,5,117,2012-08-30,2014-07-12,80
 up.frigo2000.it,35,103,2014-07-04,2014-07-05,80
 www.vinarski.de,35,89,2012-04-12,2013-08-01,80
 38.ns1631262.org,29,119,2013-11-22,2014-06-08,
 alph.gorotza.biz,24,28,2014-05-06,2014-05-06,80
 hotdownloads.com,35,121,2012-02-03,2014-06-19,80
 jomexvideo10.com,29,50,2014-05-14,2014-05-14,
 jpuityvakjgg.com,1,67,2012-09-25,2014-06-08,443
 ns4.lovealiy.com,9,118,2011-10-01,2013-08-22,443
 obalit.myftp.org,1,72,2013-12-25,2013-12-25,6666
 testpresleri.com,1,50,2012-05-17,2014-05-21,80
 topvideosoft.com,35,123,2013-01-25,2014-06-24,80
 ulreazqatf.co.cc,29,127,2013-06-25,2014-05-07,
 148.ns1631262.org,29,82,2013-12-24,2014-06-02,
 bms.bear-it.co.uk,30,72,2013-07-05,2014-05-23,5721
 cviperz.zapto.org,25,120,2014-03-12,2014-03-15,80
 joannehawkins.com,1,122,2013-10-02,2014-06-05,443
 kehu1.cpugood.com,1,72,2012-11-08,2013-06-04,93 6380 91 6382 92
 link.hannimei.com,35,61,2014-05-24,2014-06-14,80
 paralelis.orge.pl,27,78,2011-11-05,2014-05-29,80
 programms-free.ru,35,115,2014-05-06,2014-05-06,80
 xesopusacezeb.com,24,96,2013-09-07,2014-06-19,80
 xiao2012.3322.org,1,92,2012-03-24,2013-12-24,8888 8080 2011 81 6666
 a1985.g.akamai.net,35,103,2012-08-11,2014-05-15,80
 b.nibblecheese.com,5,67,2012-04-26,2014-05-05,80
 domanaged-scan.com,1,67,2011-09-05,2014-06-14,80
 giaddkbzcyaoim.com,29,127,2014-02-01,2014-06-10,80
 mcajxjanbicm.co.uk,29,73,2014-05-24,2014-05-24,80
 scan19.sgers.ce.ms,27,74,2014-05-25,2014-05-25,80
 sec.starfandom.com,28,63,2014-01-03,2014-05-14,443
 setupspcp1.888.com,35,87,2012-11-07,2014-06-07,80
 11bc0.api.socdn.com,5,92,2014-06-20,2014-07-04,80
 1c822.api.socdn.com,5,112,2014-06-19,2014-07-14,80
 1ee61.api.socdn.com,5,62,2014-06-26,2014-07-04,80
 6edac.api.socdn.com,5,102,2014-06-20,2014-07-14,80
 a1694.g1.akamai.net,35,81,2012-08-20,2014-05-17,80
 ads.dns-look-up.com,1,77,2011-07-25,2014-06-27,80
 gomiantheresseg.com,1,117,2014-05-20,2014-07-05,80
 liming-equity.co.cc,29,50,2014-03-31,2014-03-31,80
 nonangno.site90.com,4,35,2014-05-25,2014-05-25,21
 perso100-g5.free.fr,35,115,2013-07-02,2014-05-17,80
 vertical.no-ip.info,1,102,2012-09-15,2013-11-15,38670
 volwysdedicated.com,35,55,2013-12-14,2014-06-11,80
 wwrgnyoqwcodyhg.com,1,42,2012-09-26,2014-05-26,443
 www.obdsoftware.net,35,117,2013-12-29,2014-06-12,80
 05e0fa.api.socdn.com,5,127,2014-06-29,2014-07-17,80
 135332942.qseach.com,1,120,2014-07-13,2014-07-13,80
 2efa01.api.socdn.com,5,122,2014-06-29,2014-07-15,80
 6d47ca.api.socdn.com,5,122,2014-07-03,2014-07-14,80
 7be484.api.socdn.com,5,122,2014-06-29,2014-07-15,80
 ask.valentino.usa.cc,1,102,2014-04-24,2014-06-25,80
 b0b743.api.socdn.com,5,112,2014-07-04,2014-07-14,80
 fc966f.api.socdn.com,5,112,2014-07-03,2014-07-14,80
 haidishijie.3322.org,1,117,2012-09-01,2014-07-14,6666 8888
 jkwlpdjmoivtpw.co.uk,29,127,2014-04-04,2014-04-04,80
 revistabasica.art.br,1,72,2013-09-27,2014-05-04,80
 utdmgxpyuheanx.co.uk,29,127,2014-05-25,2014-05-26,80
 www.go-conference.de,35,119,2014-05-01,2014-05-16,80
 yameila1983.3322.org,1,112,2010-09-11,2013-06-16,8000
 chat.universochat.net,9,29,2014-04-10,2014-04-10,6667
 experimentalscene.com,35,67,2011-11-28,2014-06-17,80
 forces.eroinstalls.ru,5,40,2014-01-06,2014-06-14,80
 freedom.wemineltc.com,40,75,2014-01-24,2014-07-02,80 3334 3339
 qmeqaadjdyrgvws.co.uk,29,127,2014-06-17,2014-06-17,80
 raine.sd.softonic.com,5,32,2014-06-20,2014-06-28,80
 twg19931212.f3322.org,1,30,2014-05-22,2014-06-02,8000 2012
 wnbpsqmajhdqipe.co.uk,29,73,2014-05-24,2014-05-24,80
 www.classicstart8.com,35,111,2013-02-08,2014-06-10,80
 www.mgnkapurthala.com,1,117,2013-11-06,2014-06-02,80
 antiviruspro.zapto.org,25,120,2014-05-27,2014-05-29,80
 download.webcammax.com,35,121,2013-02-26,2014-06-14,80
 e3937.g.akamaiedge.net,35,121,2014-01-12,2014-06-02,80
 e7718.b.akamaiedge.net,35,61,2014-04-02,2014-05-09,80
 hd-porno-vkontakte.net,35,59,2014-06-13,2014-06-13,80
 mipony.sd.softonic.com,5,60,2012-07-26,2014-07-11,80
 mozilla.ud.softonic.fr,5,77,2014-07-05,2014-07-07,80
 secure.oinstaller4.com,5,117,2013-01-15,2014-07-14,80
 vaforgoldpea1984.co.vu,35,99,2014-07-02,2014-07-04,80
 dediboxwni5.winonet.com,35,113,2013-11-30,2014-05-13,80
 descargas.hispazone.org,35,123,2012-10-10,2014-06-11,80
 exhuxn8bsy.stolovka.org,1,60,2013-10-20,2014-05-12,8000
 moborobo.sd.softonic.fr,5,35,2014-05-08,2014-05-08,80
 www.generaldownload.com,35,125,2014-05-26,2014-06-19,80
 zlndqawvrrbjhavidol.com,29,127,2014-02-19,2014-06-02,80
 1ceb5.perfectchoice1.com,29,100,2014-04-03,2014-05-13,
 1d8b7.perfectchoice1.com,29,50,2014-05-18,2014-05-18,
 1dfcc.perfectchoice1.com,29,127,2014-04-14,2014-05-24,
 1fe12.perfectchoice1.com,29,127,2014-03-13,2014-05-25,
 2285e.perfectchoice1.com,29,127,2014-04-14,2014-05-26,
 286aa.perfectchoice1.com,29,127,2014-03-19,2014-04-01,80
 elotroladodelsilencio.tk,27,119,2014-05-06,2014-05-06,80
 hoto14.informaticagsg.nl,35,71,2014-06-19,2014-06-19,80
 quicktime.sd.softonic.jp,5,42,2013-09-19,2014-06-30,80
 spore.sd.en.softonic.com,5,117,2012-07-27,2014-07-15,80
 gfdgfdgdfgdfgdfg.3322.org,25,120,2012-09-26,2014-06-18,80
 huonzpmnxsdxxorjzojcxo.ru,29,127,2014-06-01,2014-06-06,80
 zrtoz68rk.ow5dirasuek.com,29,127,2014-04-27,2014-04-27,80
 camuniversal.sd.softonic.de,5,35,2014-07-14,2014-07-14,80
 cidypuhxoondqwijrkvsmug.org,29,127,2014-05-21,2014-05-27,80
 white.download.pdfforge.org,35,109,2013-10-16,2014-06-05,80
 s4154.nb.host192-168-1-2.com,1,55,2014-07-08,2014-07-08,80
 v4286.nb.host192-168-1-2.com,1,57,2014-05-03,2014-05-03,80
 whiteglorialawws.immortal.pl,1,102,2014-05-01,2014-07-11,80
 windowsharddriverecovery.com,35,61,2014-03-26,2014-06-14,80
 allmup.mupp.gameassists.co.uk,5,97,2013-10-21,2014-07-07,80
 crrvsitl.researchsecurity.biz,1,67,2014-05-03,2014-05-06,80
 e29291.nb.host192-168-1-2.com,1,37,2014-01-19,2014-05-02,80
 kjmvtcxpnrcvssbvodusjvtdah.ru,29,86,2014-06-01,2014-06-06,80
 link.androidantivirusfree.org,1,122,2013-01-07,2014-07-14,80
 paint-shop-pro.sd.softonic.fr,5,32,2014-06-23,2014-06-28,80
 soda-pdf-5.sd.en.softonic.com,5,42,2014-06-29,2014-06-29,80
 swf-player.sd.en.softonic.com,5,117,2012-05-22,2014-07-15,80
 eueqvkobtscabkficagizlzxfil.ru,29,127,2014-06-01,2014-06-05,80
 haiqsijgqpfyzltukbahazxtd.info,29,127,2014-05-22,2014-05-27,80
 mini-monitoring.sd.softonic.pl,5,77,2013-12-14,2014-07-06,80
 amroibzlgumjqsqeynvlxwvffix.net,29,127,2014-03-23,2014-03-27,80
 dvdfab-decrypter.sd.softonic.it,5,35,2013-07-01,2014-07-14,80
 mp3directcut.sd.nl.softonic.com,5,40,2012-06-28,2014-07-12,80
 the-sims-2-patch.sd.softonic.it,5,50,2012-11-13,2014-07-07,80
 windows.security.security32.biz,9,72,2013-04-03,2014-05-23,4564
 i16313.nb.host-domain-lookup.com,1,120,2014-05-04,2014-05-04,80
 vpn-one-click.sd.en.softonic.com,5,107,2012-07-27,2014-07-11,80
 203c0b6ahjt.testimonypedia.uni.me,35,57,2014-06-12,2014-06-12,80
 driver-sweeper.sd.en.softonic.com,5,40,2012-06-25,2014-05-13,80
 camaras-de-trafico.sd.softonic.com,5,77,2014-07-03,2014-07-04,80
 hostingsolutions-26026.dsextra.com,1,122,2011-10-11,2014-07-16,80
 installer.outbrowse.netdna-cdn.com,35,121,2014-03-26,2014-06-18,80
 ms-gif-animator.sd.en.softonic.com,5,42,2014-04-18,2014-06-30,80
 virtual-fashion.sd.en.softonic.com,5,45,2014-04-23,2014-06-07,80
 windows-defender.sd.nl.softonic.com,5,32,2014-05-12,2014-07-15,80
 checkdisk-wrapper.sd.en.softonic.com,5,107,2012-09-02,2014-07-09,80
 photomizer-scan-2.sd.en.softonic.com,5,67,2012-07-27,2014-07-05,80
 subtitle-workshop.sd.softonic.com.br,5,112,2014-03-28,2014-07-11,80
 a1742.c.akamai.net.0.1.cn.akamaitech.net,5,72,2012-08-08,2014-07-08,80
 cdburnerxp-pro-64-bit.sd.nl.softonic.com,5,32,2012-08-03,2014-07-12,80
 mortal-kombat-project.sd.en.softonic.com,5,117,2013-04-11,2014-07-14,80
 tb.myappupdate.com.direct.cdn.anycast.me,1,122,2014-01-23,2014-07-13,80
 utorrent-ultra-accelerator.sd.softonic.fr,5,107,2012-11-11,2014-07-13,80
 62rygf2e6tzddooj3s739k0699nxkc.ipcheker.com,1,97,2012-04-21,2012-11-13,80
 i5pt8xjoyjpr194953i7805kh6w6j1.ipcheker.com,1,97,2012-09-05,2012-09-05,80
 nrup9rz9inhi7zax9u65j7i.bakecaincontrix.com,35,55,2014-06-11,2014-06-11,80
 qzylv6c768f8708775szz9hr2i8rxd.ipcheker.com,1,87,2011-12-17,2012-11-07,80
 windows-xp-service-pack-3.ud.en.softonic.com,5,117,2014-05-17,2014-07-15,80
 need-for-speed-underground.sd.en.softonic.com,5,117,2012-07-27,2014-07-15,80
 world-of-warcraft-for-minecraft.sd.softonic.com,5,25,2014-06-25,2014-07-10,80
 microsoft-security-essentials-xp.sd.en.softonic.com,5,22,2014-06-22,2014-06-26,80
 microsoft-office-word-viewer-2003.sd.softonic.com.br,5,40,2013-10-28,2014-05-21,80
 microsoft-office-word-viewer-2007.sd.en.softonic.com,5,80,2012-07-27,2014-07-02,80
 esdla-the-battle-for-middle-earth-ii.sd.en.softonic.com,5,22,2014-06-18,2014-06-18,80
 ssl-fusioninstall-1026707051.us-east-1.elb.amazonaws.com,35,119,2014-02-16,2014-06-12,80
 0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0-0-0-0-0-0-0-0.info,27,99,2013-05-12,2014-06-19,80
 coolmuster-android-sms-contacts-recovery.sd.en.softonic.com,5,57,2014-03-21,2014-07-03,80
 fifa-fu-ball-weltmeisterschaft-bildschirmschoner.sd.softonic.de,5,57,2014-07-02,2014-07-03,80
 md5x.tk,27,39,2014-03-27,2014-04-20,80
 avini.ru,29,127,2014-02-05,2014-05-10,80
 despww.su,27,55,2014-05-06,2014-06-21,80
 dgfvm.com,29,127,2013-08-14,2014-05-21,80
 xxxd1.com,9,116,2012-04-01,2014-01-29,0 3333 7777
 anydwg.com,35,95,2012-07-21,2014-06-12,80
 img001.com,35,117,2010-12-13,2014-05-29,80
 moblik.net,37,72,2013-12-18,2014-07-14,80
 popscan.kr,35,55,2013-10-26,2014-06-11,80
 sogeeva.su,27,40,2014-04-05,2014-04-21,80
 andydan.com,28,86,2013-12-20,2014-06-06,443
 antikit.com,24,49,2012-12-29,2012-12-29,80
 cn.amfib.at,29,78,2013-01-20,2014-02-22,
 furysro.com,1,35,2013-10-23,2014-05-28,80
 jju.xdix.ru,29,125,2013-10-12,2014-07-08,
 citygames.su,27,38,2014-02-06,2014-04-19,80
 xuxuxex.info,29,53,2013-02-28,2014-05-04,80
 27.wap517.net,29,127,2014-03-25,2014-04-27,
 3merald.co.cc,27,46,2012-10-02,2014-05-06,80
 cdn02.rada.vn,35,113,2013-07-17,2014-06-08,80
 clipdiary.com,35,50,2013-04-15,2014-02-25,80
 d1.xc0429.com,35,89,2014-03-08,2014-06-14,80
 dvsv.tukv.biz,1,27,2014-01-04,2014-07-14,8000
 e.joyyven.com,9,118,2013-04-28,2014-06-18,6510 6511
 fonster.cz.cc,27,67,2014-03-14,2014-05-18,80
 pop1.icoou.cn,35,105,2013-12-01,2014-06-05,80
 theyergfx.com,35,69,2014-02-14,2014-06-18,80
 v76.f3322.org,1,22,2013-12-12,2014-02-06,9696 2012 789
 zaloopa.co.cc,27,92,2011-03-06,2014-06-12,80
 fs0.gamenet.ru,35,83,2013-02-08,2014-06-15,80
 irc.choopa.net,9,122,2013-08-05,2014-06-14,6667
 kasjchseuk.com,1,62,2011-06-23,2014-07-15,80
 main-point.com,28,124,2013-11-23,2014-06-14,443
 n.sqlteam.info,9,45,2013-03-14,2014-04-26,6666
 nj88.no-ip.biz,1,97,2014-07-11,2014-07-11,80
 pozitronix.net,1,77,2014-03-31,2014-06-15,80
 sfs.mm.onet.pl,35,123,2013-09-12,2014-06-18,80
 storagenl.info,5,77,2012-08-15,2014-07-16,80
 vcainxsx.cz.cc,27,40,2014-05-18,2014-05-18,80
 vcomdesign.com,28,125,2013-11-07,2014-05-07,443
 vps.vronli.com,35,99,2013-11-23,2014-03-01,80
 34.nsvhn987.com,29,124,2013-03-01,2014-06-24,
 36332.dns7u.com,29,50,2014-03-29,2014-03-29,443
 asdljy.3322.org,25,120,2014-03-04,2014-06-09,80
 fcgoattrack.com,5,112,2013-05-01,2014-07-11,80
 flyhigh-inc.net,28,101,2014-06-05,2014-06-15,443
 fnmqkvqhc.ce.ms,27,42,2014-03-24,2014-04-23,80
 fonsi.zapto.org,25,120,2014-05-16,2014-07-07,9006 9008
 mcapenang.cu.cc,27,60,2011-10-10,2014-05-11,80
 melody-tune.net,1,97,2014-03-04,2014-07-10,80
 nzmz.no-ip.info,9,125,2013-04-13,2014-06-04,1337
 qq1979103419.tk,1,60,2014-04-26,2014-06-13,41
 wmgjwg.3322.org,1,32,2013-05-29,2014-02-13,24528
 www.20mbweb.com,1,112,2012-05-26,2014-07-14,80
 www.bop9088.com,1,32,2014-05-22,2014-07-02,2099 7410
 www.weqsoft.com,35,105,2011-12-08,2014-05-24,80
 xma0kr31l.co.cc,27,62,2013-05-09,2014-06-06,80
 45.ns1631262.org,29,118,2013-12-03,2014-07-04,
 beautystyle1.com,35,95,2013-11-19,2013-11-29,80
 cu.outerinfo.com,5,122,2013-08-19,2014-07-12,80
 hpodjrmuv.ku1.in,29,100,2014-05-10,2014-05-10,80
 irc.inet.tele.dk,9,71,2013-07-20,2014-05-22,6667
 jingwu8.xicp.net,1,22,2014-04-28,2014-06-26,8080
 jnzhang.3322.org,1,50,2011-12-29,2014-07-07,91 918 8000
 n00bdc.no-ip.org,1,35,2014-01-22,2014-07-04,35001
 node5.net2ftp.ru,1,77,2013-10-09,2014-07-07,21
 premiumsave.info,5,127,2012-01-15,2014-07-17,80
 sgaiycl.3322.org,1,47,2013-08-02,2014-05-02,8000
 www.avermedia.eu,35,79,2013-11-18,2014-06-19,80
 www.blubster.com,35,127,2014-04-27,2014-06-12,80
 144.ns1631262.org,29,124,2013-11-10,2014-07-05,
 diulomo.no-ip.org,9,32,2014-01-16,2014-04-13,6667
 l.radsteroids.com,5,112,2013-11-22,2014-07-13,80
 livecleaner.co.kr,24,81,2013-08-11,2014-05-22,80
 medyabotnet.co.cc,9,123,2013-10-12,2014-06-04,6667
 pltscientific.com,35,57,2014-06-12,2014-06-12,80
 ritm-vkontakte.ru,35,123,2013-08-01,2014-04-01,80
 solitairetime.com,35,113,2013-06-01,2014-05-31,80
 store.htchome.org,35,105,2013-01-15,2014-06-16,80
 www.edisom.com.br,1,55,2013-06-24,2014-07-09,80
 www.nerdirect.net,5,117,2014-07-09,2014-07-16,80
 www.pixmatrix.com,35,107,2013-12-17,2014-06-14,80
 zy1.hnshoping.com,35,99,2013-05-29,2014-06-08,80
 a1128.g.akamai.net,35,75,2012-02-20,2014-06-16,80
 bigdogfireworks.ca,28,104,2014-01-01,2014-06-16,443
 drivermagician.com,35,111,2012-08-14,2014-05-25,80
 evrkmxkaeluo.co.uk,29,127,2014-04-04,2014-04-04,80
 freee-downloads.tk,27,64,2013-08-07,2014-05-15,80
 info-service.co.kr,24,73,2013-12-24,2014-05-24,80
 klmaster.sytes.net,25,120,2014-04-16,2014-04-16,80
 lrexrvytwymf.co.uk,29,127,2013-10-22,2014-05-29,80
 media.vitkvitk.com,35,125,2013-12-25,2014-06-18,80
 pc2.114central.com,35,123,2013-04-26,2014-07-14,80
 safetywebtools.com,24,65,2013-01-02,2014-05-16,80
 trudeausociety.com,28,126,2013-12-11,2014-06-13,443
 www.proguard.co.kr,24,67,2014-04-09,2014-05-18,80
 www.registry.cu.cc,7,99,2011-10-03,2014-06-17,80
 ybaalvgyhfoeabp.ru,29,127,2014-06-09,2014-06-09,80
 11324764.qseach.com,1,120,2014-07-11,2014-07-11,80
 90e66.api.socdn.com,5,62,2014-06-19,2014-07-03,80
 9b1d9.api.socdn.com,5,92,2014-06-20,2014-06-26,80
 ddee5.api.socdn.com,5,112,2014-06-20,2014-07-14,80
 glhyciacarvalho.com,29,127,2014-02-25,2014-07-02,80
 mail.purplelots.com,9,98,2013-10-26,2014-06-18,80
 www.premiumpc.co.kr,5,45,2013-06-28,2014-07-08,80
 zhiweiniai.vicp.net,1,122,2014-07-05,2014-07-06,3213
 506075740.qseach.com,1,120,2014-07-11,2014-07-11,80
 712846041.qseach.com,1,120,2014-07-11,2014-07-11,80
 739335537.qseach.com,1,120,2014-07-11,2014-07-11,80
 e1d961.api.socdn.com,5,117,2014-06-30,2014-07-14,80
 e7b5ee.api.socdn.com,5,45,2014-07-13,2014-07-13,80
 ef39e0.api.socdn.com,5,122,2014-07-08,2014-07-14,80
 eoenstks1.cafe24.com,5,122,2014-06-04,2014-07-06,80
 iluminati9999900.com,29,120,2013-03-20,2014-07-12,443
 java.kutlufamily.com,9,88,2010-12-05,2014-06-08,80 81
 lamentin97.sytes.net,9,86,2014-04-21,2014-06-06,6667
 mudynastie.sytes.net,25,120,2014-04-13,2014-04-13,80
 qq694684245.3322.org,1,47,2012-03-15,2013-10-17,80 321 390 2012 888 889
 takers.aaa1-news.net,29,73,2013-01-03,2014-05-24,
 4192014.installic.com,35,107,2014-05-01,2014-05-28,80
 andrology-urology.com,28,86,2014-02-15,2014-04-29,443
 app.koreankeyword.com,35,65,2013-10-20,2014-06-16,80
 fences.sd.softonic.jp,5,55,2013-04-18,2014-06-04,80
 jvmqaajnimwyvup.co.uk,29,127,2014-03-27,2014-04-09,80
 knjxyokibseqpmr.co.uk,29,127,2014-05-25,2014-05-25,80
 qetxdjugtkvlmol.co.uk,29,127,2014-05-25,2014-05-25,80
 static.sd.softonic.jp,5,117,2012-07-27,2014-07-15,80
 sxxwddaijhqhelc.co.uk,29,127,2014-05-23,2014-05-23,80
 updatemedia.hopto.org,25,120,2014-06-18,2014-06-18,80
 wlteuqlltfpnnlx.co.uk,29,73,2014-05-24,2014-05-24,80
 zurekconstruction.com,1,87,2013-12-22,2014-05-06,80
 cds.m8z7c2j5.hwcdn.net,35,89,2012-09-13,2014-04-04,80
 concorda-immobilier.fr,28,93,2014-05-31,2014-06-05,443
 softpicks-download.net,35,89,2012-07-13,2014-06-18,80
 vreveal.sd.softonic.it,5,25,2012-09-19,2014-07-12,80
 www.contraviruspro.com,24,53,2014-04-09,2014-06-21,80
 download.howcodec.co.kr,35,123,2013-07-23,2014-05-24,80
